country,cn_code,description,product_group,year,default_direct_tco2e_per_ton,default_indirect_tco2e_per_ton,default_total_tco2e_per_ton,adopted_default_total_tco2e_per_ton,underlying_cbam_benchmark_route,has_country_value
Türkiye,76109090,Other,Aluminium,2028,2.674,,2.674,3.4762,K,true
Türkiye,76110000,"Aluminium reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",Aluminium,2026,4.520152941,,4.520152941,4.9721682351,K,true
Türkiye,76110000,"Aluminium reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",Aluminium,2027,4.520152941,,4.520152941,5.4241835292,K,true
Türkiye,76110000,"Aluminium reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",Aluminium,2028,4.520152941,,4.520152941,5.8761988233,K,true
Türkiye,7612,"Aluminium casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any material (other than compressed or liquefied gas), of a capacity not exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",Aluminium,2026,4.520152941,,4.520152941,4.9721682351,K,true
Türkiye,7612,"Aluminium casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any material (other than compressed or liquefied gas), of a capacity not exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",Aluminium,2027,4.520152941,,4.520152941,5.4241835292,K,true
Türkiye,7612,"Aluminium casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any material (other than compressed or liquefied gas), of a capacity not exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",Aluminium,2028,4.520152941,,4.520152941,5.8761988233,K,true
Türkiye,76130000,Aluminium containers for compressed or liquefied gas,Aluminium,2026,4.520152941,,4.520152941,4.9721682351,K,true
Türkiye,76130000,Aluminium containers for compressed or liquefied gas,Aluminium,2027,4.520152941,,4.520152941,5.4241835292,K,true
Türkiye,76130000,Aluminium containers for compressed or liquefied gas,Aluminium,2028,4.520152941,,4.520152941,5.8761988233,K,true
Türkiye,7614,"Stranded wire, cables, plaited bands and the like, of aluminium, not electrically insulated",Aluminium,2026,3.7414,,3.7414,4.11554,K,true
Türkiye,7614,"Stranded wire, cables, plaited bands and the like, of aluminium, not electrically insulated",Aluminium,2027,3.7414,,3.7414,4.48968,K,true
Türkiye,7614,"Stranded wire, cables, plaited bands and the like, of aluminium, not electrically insulated",Aluminium,2028,3.7414,,3.7414,4.86382,K,true
Türkiye,76161000,"Nails, tacks, staples (other than those of heading 8305), screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers and similar articles",Aluminium,2026,3.06,,3.06,3.366,K,true
Türkiye,76161000,"Nails, tacks, staples (other than those of heading 8305), screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers and similar articles",Aluminium,2027,3.06,,3.06,3.672,K,true
Türkiye,76161000,"Nails, tacks, staples (other than those of heading 8305), screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers and similar articles",Aluminium,2028,3.06,,3.06,3.978,K,true
Türkiye,76169100,"Cloth, grill, netting and fencing, of aluminium wire",Aluminium,2026,3.06,,3.06,3.366,K,true
Türkiye,76169100,"Cloth, grill, netting and fencing, of aluminium wire",Aluminium,2027,3.06,,3.06,3.672,K,true
Türkiye,76169100,"Cloth, grill, netting and fencing, of aluminium wire",Aluminium,2028,3.06,,3.06,3.978,K,true
Türkiye,76169910,Cast,Aluminium,2026,3.06,,3.06,3.366,K,true
Türkiye,76169910,Cast,Aluminium,2027,3.06,,3.06,3.672,K,true
Türkiye,76169910,Cast,Aluminium,2028,3.06,,3.06,3.978,K,true
Türkiye,76169990,Other,Aluminium,2026,3.06,,3.06,3.366,K,true
Türkiye,76169990,Other,Aluminium,2027,3.06,,3.06,3.672,K,true
Türkiye,76169990,Other,Aluminium,2028,3.06,,3.06,3.978,K,true
Türkiye,28041000,Hydrogen,Hydrogen,2026,10.82,,10.82,11.902,,true
Türkiye,28041000,Hydrogen,Hydrogen,2027,10.82,,10.82,12.984,,true
Türkiye,28041000,Hydrogen,Hydrogen,2028,10.82,,10.82,14.066,,true
Türkiye,26011200,Agglomerated iron ores and concentrates (excl. roasted iron pyrites),Iron and steel,2026,0.18,0.03,0.21,0.231,,true
