cn_code,description,product_group,default_direct_tco2e_per_ton,default_indirect_tco2e_per_ton,default_total_tco2e_per_ton
25233000,Aluminous cement 11,Aluminous cement,1.75,0.15,1.90
28080000,Nitric acid; sulphonitric acids,Nitric acid,2.56,0.05,2.60
2814,"Ammonia, anhydrous or in aqueous solution",Ammonia,2.68,0.14,2.82
28342100,Nitrates of potassium,Mixed fertilisers,1.82,0.06,1.88
310210,"Urea, whether or not in aqueous solution",Fertilisers,1.78,0.12,1.9
31022100,Ammonium sulphate,Fertilisers,0.86,0.09,0.94
31022900,Double salts and mixtures of ammonium sulphate and ammonium nitrate,Fertilisers,1.54,0.10,1.63
310230,"Ammonium nitrate, whether or not in aqueous solution",Fertilisers,2.32,0.07,2.39
310240,Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances,Fertilisers,1.77,0.06,1.84
31025000,Sodium nitrate,Fertilisers,3.99,0.07,4.06
31026000,Double salts and mixtures of calcium nitrate and ammonium nitrate,Fertilisers,1.87,0.08,1.95
31028000,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution,Fertilisers,1.28,0.06,1.34
31029000,Other including mixtures not specified in the foregoing subheadings 12,Fertilisers,1.65,0.10,1.74
31051000,Goods of this chapter in tablets or similar forms or in packages of a gross weight not exceeding 10 kg 13,Fertilisers,0.94,0.08,1.02
310520,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus and potassium",Fertilisers,1.23,0.11,1.35
31053000,Diammonium hydrogenorthophosphate (diammonium phosphate),Fertilisers,0.69,0.06,0.75
31054000,Ammonium dihydrogenorthophosphate (monoammonium phosphate) and mixtures thereof with diammonium hydrogenorthophosphate (diammonium phosphate),Fertilisers,0.44,0.05,0.49
31055100,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (nitrates and phosphates),Fertilisers,1.29,0.11,1.4
31055900,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (other),Fertilisers,1.29,0.11,1.4
310590,Other 13,Fertilisers,0.94,0.08,1.02
7601,Unwrought aluminium,Unwrought aluminium,2.36,8.14,10.49
7603,Aluminium powders and flakes,Aluminium products,2.48,8.4,10.88
76041010,"Bars and rods of aluminium, not alloyed",Aluminium products,2.31,7.49,9.80
76041090,"Profiles of aluminium, not alloyed",Aluminium products,2.73,9.30,12.04
76042100,Hollow profiles of aluminium alloys,Aluminium products,2.73,9.30,12.04
76042910,Bars and rods of aluminium alloys,Aluminium products,2.31,7.49,9.80
76042990,Profiles of aluminium alloys,Aluminium products,2.73,9.30,12.04
7605,Aluminium wire,Aluminium products,2.31,7.49,9.80
7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2mm",Aluminium products,2.86,9.25,12.11
7607,"Aluminium foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0,2mm",Aluminium products,2.86,9.25,12.11
7608,Aluminium tubes and pipes,Aluminium products,2.73,9.30,12.04
76090000,"Aluminium tube or pipe fittings (for example, couplings, elbows, sleeves)",Aluminium products,2.73,9.30,12.04
7610,"Aluminium structures (excluding prefabricated buildings of heading 9406) and parts of structures (for example, bridges and bridge- sections, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, balustrades, pillars and columns); aluminium plates, rods, profiles, tubes and the like, prepared for use in structures",Aluminium products,2.73,9.30,12.04
76110000,"Aluminium reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",Aluminium products,2.86,9.25,12.11
7612,"Aluminium casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any material (other than compressed or liquefied",Aluminium products,2.86,9.25,12.11
76130000,Aluminium containers for compressed or liquefied gas,Aluminium,2.86,9.25,12.11
7614,"Stranded wire, cables, plaited bands and the like, of aluminium, not electrically insulated",Aluminium,2.31,7.49,9.80
28041000,Hydrogen,Hydrogen,10.4,0.0,10.4
